

Hipparcos Constellation Membership

Hipparcos Number,Constellation
HIP 63,And
HIP 88,Phe
HIP 122,Oct
HIP 145,Psc
HIP 154,Psc
HIP 159,Psc
HIP 171,Peg
HIP 181,Cas
HIP 183,Scl
HIP 186,Psc
HIP 194,Psc
HIP 274,Cas
HIP 301,Cet
HIP 302,Cep
HIP 330,Cas
HIP 355,Cet
HIP 394,
HIP 418,Cas
HIP 443,Psc
HIP 476,Peg
HIP 518,Cas
HIP 522,
HIP 531,Cas
HIP 544,And
HIP 635,Cet
HIP 664,Psc
HIP 677,And
HIP 696,Cet
HIP 699,
HIP 729,Peg
HIP 746,Cas
HIP 761,Scl
HIP 765,Phe
HIP 813,Psc
HIP 814,Oct
HIP 841,And
HIP 910,Cet
HIP 930,Scl
HIP 950,Scl
HIP 1067,Peg
HIP 1086,And
HIP 1146,Tuc
HIP 1158,Cet
HIP 1168,Peg
HIP 1170,Cet
HIP 1196,Psc
HIP 1233,And
HIP 1292,
HIP 1319,Psc
HIP 1325,Psc
HIP 1349,
HIP 1366,And
HIP 1392,Psc
HIP 1415,Cas
HIP 1429,Psc
HIP 1444,
HIP 1473,And
HIP 1499,
HIP 1501,And
HIP 1547,
HIP 1562,Cet
HIP 1595,Psc
HIP 1599,Tuc
HIP 1645,Psc
HIP 1647,Tuc
HIP 1652,Cas
HIP 1686,And
HIP 1708,Scl
HIP 1728,Cet
HIP 1772,Psc
HIP 1803,Cet
HIP 1830,Scl
HIP 1921,Cas
HIP 1960,Cas
HIP 2006,Psc
HIP 2021,Hyi
HIP 2025,Psc
HIP 2071,
HIP 2072,Phe
HIP 2080,Psc
HIP 2081,Phe
HIP 2100,Cet
HIP 2210,Scl
HIP 2213,Psc
HIP 2219,Psc
HIP 2224,Psc
HIP 2243,And
HIP 2247,
HIP 2353,Cet
HIP 2355,And
HIP 2388,Phe
HIP 2472,Phe
HIP 2474,Cas
HIP 2484,Tuc
HIP 2487,Tuc
HIP 2505,Cas
HIP 2548,Psc
HIP 2568,Psc
HIP 2578,Tuc
HIP 2599,Cas
HIP 2629,Tuc
HIP 2707,Cas
HIP 2711,
HIP 2762,Cet
HIP 2787,Cet
HIP 2802,Phe
HIP 2852,Cet
HIP 2865,And
HIP 2888,
HIP 2900,And
HIP 2903,Psc
HIP 2912,And
HIP 2920,Cas
HIP 2941,
HIP 2994,Cet
HIP 3025,Cet
HIP 3031,And
HIP 3092,And
HIP 3093,Psc
HIP 3138,Psc
HIP 3142,Scl
HIP 3170,
HIP 3179,Cas
HIP 3185,
HIP 3231,And
HIP 3245,Phe
HIP 3277,Phe
HIP 3300,Cas
HIP 3330,Tuc
HIP 3346,Cas
HIP 3356,Scl
HIP 3405,Phe
HIP 3414,Cas
HIP 3419,Cet
HIP 3455,Cet
HIP 3456,Scl
HIP 3478,Cas
HIP 3479,
HIP 3497,
HIP 3504,Cas
HIP 3505,
HIP 3559,Cet
HIP 3572,Cas
HIP 3583,
HIP 3632,Psc
HIP 3675,Psc
HIP 3685,Psc
HIP 3693,And
HIP 3697,Psc
HIP 3721,Cas
HIP 3730,Psc
HIP 3760,Psc
HIP 3765,
HIP 3781,Hyi
HIP 3786,Psc
HIP 3801,Cas
HIP 3810,Psc
HIP 3821,Cas
HIP 3829,
HIP 3881,And
HIP 3885,Psc
HIP 3903,Phe
HIP 3909,Cet
HIP 3919,And
HIP 3949,Phe
HIP 3965,Cas
HIP 4084,Tuc
HIP 4129,And
HIP 4147,Cet
HIP 4151,
HIP 4200,Tuc
HIP 4257,Cet
HIP 4267,Psc
HIP 4288,And
HIP 4292,Cas
HIP 4293,Tuc
HIP 4366,Psc
HIP 4371,Cet
HIP 4422,Cas
HIP 4427,Cas
HIP 4436,And
HIP 4463,And
HIP 4510,Psc
HIP 4577,Scl
HIP 4587,Cet
HIP 4655,Psc
HIP 4726,Cet
HIP 4770,Scl
HIP 4829,Phe
HIP 4843,Cep
HIP 4852,Scl
HIP 4879,Tuc
HIP 4889,Psc
HIP 4903,And
HIP 4906,Psc
HIP 4914,Cet
HIP 4979,Cet
HIP 4983,And
HIP 5054,
HIP 5074,Psc
HIP 5081,Psc
HIP 5121,Cet
HIP 5131,Psc
HIP 5132,Psc
HIP 5141,Psc
HIP 5164,Cet
HIP 5165,Phe
HIP 5175,Psc
HIP 5193,Scl
HIP 5204,Psc
HIP 5268,Tuc
HIP 5296,Cet
HIP 5300,Phe
HIP 5310,Psc
HIP 5315,Cet
HIP 5317,And
HIP 5319,Psc
HIP 5336,Cas
HIP 5346,Psc
HIP 5348,Phe
HIP 5364,Cet
HIP 5372,UMi
HIP 5434,And
HIP 5447,And
HIP 5454,Psc
HIP 5485,Cet
HIP 5493,And
HIP 5510,Cet
HIP 5518,Cas
HIP 5529,
HIP 5542,Cas
HIP 5544,Psc
HIP 5550,And
HIP 5571,Psc
HIP 5586,Psc
HIP 5589,Cas
HIP 5594,Cet
HIP 5646,Cet
HIP 5661,Scl
HIP 5688,Cas
HIP 5737,Psc
HIP 5742,Psc
HIP 5743,Psc
HIP 5772,Psc
HIP 5778,Psc
HIP 5799,Cet
HIP 5824,Psc
HIP 5833,Cet
HIP 5862,Phe
HIP 5896,Tuc
HIP 5914,Psc
HIP 5926,Cas
HIP 5939,And
HIP 5944,And
HIP 5951,Cet
HIP 5985,Cet
HIP 6027,Cas
HIP 6039,Tuc
HIP 6061,Psc
HIP 6193,Psc
HIP 6226,Cet
HIP 6242,Cas
HIP 6312,Cas
HIP 6315,Psc
HIP 6411,And
HIP 6429,Cet
HIP 6514,And
HIP 6537,Cet
HIP 6539,Cet
HIP 6560,And
HIP 6643,
HIP 6670,Cet
HIP 6686,Cas
HIP 6692,Cas
HIP 6706,Psc
HIP 6732,Psc
HIP 6748,Cet
HIP 6813,And
HIP 6867,Phe
HIP 6888,Scl
HIP 6952,Phe
HIP 6960,Cet
HIP 6981,Psc
HIP 6999,And
HIP 7007,Psc
HIP 7078,Cas
HIP 7083,Phe
HIP 7097,Psc
HIP 7235,
HIP 7289,Tri
HIP 7294,Cas
HIP 7321,And
HIP 7330,Scl
HIP 7339,
HIP 7345,Cet
HIP 7436,Psc
HIP 7450,Cet
HIP 7463,Scl
HIP 7493,And
HIP 7505,Psc
HIP 7513,And
HIP 7535,Psc
HIP 7588,Eri
HIP 7601,
HIP 7607,And
HIP 7649,Phe
HIP 7650,Cas
HIP 7651,And
HIP 7710,Psc
HIP 7719,And
HIP 7740,Psc
HIP 7751,Eri
HIP 7818,And
HIP 7879,Hyi
HIP 7884,Psc
HIP 7918,
HIP 7939,Cas
HIP 7955,Scl
HIP 7965,Cas
HIP 7978,Eri
HIP 7981,Psc
HIP 8016,Cas
HIP 8034,And
HIP 8046,Cas
HIP 8068,Per
HIP 8102,Cet
HIP 8115,Cas
HIP 8132,Hyi
HIP 8159,Psc
HIP 8198,Psc
HIP 8209,Scl
HIP 8210,Psc
HIP 8240,Phe
HIP 8241,Eri
HIP 8271,Psc
HIP 8362,Cas
HIP 8366,Hyi
HIP 8387,Ari
HIP 8433,
HIP 8486,Cet
HIP 8497,Cet
HIP 8544,Ari
HIP 8588,Cet
HIP 8593,Phe
HIP 8619,Ari
HIP 8645,Cet
HIP 8704,Per
HIP 8714,Per
HIP 8751,Hyi
HIP 8778,Cet
HIP 8796,Tri
HIP 8814,And
HIP 8832,Ari
HIP 8833,Psc
HIP 8837,Phe
HIP 8882,Phe
HIP 8886,Cas
HIP 8903,Ari
HIP 8928,Hyi
HIP 8991,Hyi
HIP 8993,Ari
HIP 9007,Eri
HIP 9009,Cas
HIP 9021,And
HIP 9061,Cet
HIP 9085,
HIP 9094,
HIP 9110,Ari
HIP 9153,Ari
HIP 9165,Cet
HIP 9171,Tri
HIP 9222,Per
HIP 9236,Hyi
HIP 9258,Cet
HIP 9326,Cet
HIP 9347,Cet
HIP 9353,Psc
HIP 9372,Cet
HIP 9440,For
HIP 9459,Phe
HIP 9480,Cas
HIP 9487,Psc
HIP 9494,Cas
HIP 9505,Per
HIP 9564,Cas
HIP 9570,Tri
HIP 9573,Cas
HIP 9589,Cet
HIP 9598,Cas
HIP 9621,Ari
HIP 9631,Cet
HIP 9640,And
HIP 9677,For
HIP 9727,Cas
HIP 9763,Cas
HIP 9807,Cet
HIP 9809,Psc
HIP 9836,Ari
HIP 9859,Ari
HIP 9884,Ari
HIP 9911,
HIP 9977,And
HIP 9990,Per
HIP 10031,Cas
HIP 10053,Ari
HIP 10064,Tri
HIP 10099,Cet
HIP 10138,
HIP 10141,Cas
HIP 10155,Ari
HIP 10176,And
HIP 10180,And
HIP 10203,Ari
HIP 10212,Cet
HIP 10220,Tri
HIP 10227,Per
HIP 10234,Cet
HIP 10280,Tri
HIP 10305,Cet
HIP 10306,Ari
HIP 10320,For
HIP 10324,Cet
HIP 10328,Ari
HIP 10340,And
HIP 10366,Per
HIP 10418,Hyi
HIP 10438,Cas
HIP 10513,Hyi
HIP 10535,Ari
HIP 10540,Ari
HIP 10559,Tri
HIP 10602,Eri
HIP 10633,Per
HIP 10642,Cet
HIP 10644,Tri
HIP 10670,Tri
HIP 10714,Tri
HIP 10718,Per
HIP 10729,Per
HIP 10732,Ari
HIP 10793,Tri
HIP 10798,
HIP 10805,Per
HIP 10819,And
HIP 10826,Cet
HIP 10944,And
HIP 10961,Per
HIP 11001,Hyi
HIP 11021,Cet
HIP 11035,Ari
HIP 11046,Cet
HIP 11060,Per
HIP 11072,For
HIP 11095,Hyi
HIP 11174,Per
HIP 11192,Cet
HIP 11220,And
HIP 11249,Ari
HIP 11258,Hor
HIP 11261,Cet
HIP 11279,Per
HIP 11293,Hor
HIP 11313,And
HIP 11345,Cet
HIP 11348,Cet
HIP 11390,Ari
HIP 11407,Eri
HIP 11427,Ari
HIP 11432,Tri
HIP 11465,And
HIP 11477,For
HIP 11484,Cet
HIP 11486,Tri
HIP 11548,Tri
HIP 11569,Cas
HIP 11644,For
HIP 11648,Hor
HIP 11678,Ari
HIP 11698,Ari
HIP 11738,
HIP 11757,Hyi
HIP 11767,UMi
HIP 11783,Cet
HIP 11784,Tri
HIP 11791,Cet
HIP 11843,Ari
HIP 11867,For
HIP 11918,For
HIP 11978,Cas
HIP 12002,Cet
HIP 12048,Cet
HIP 12086,Tri
HIP 12093,Cet
HIP 12107,Cet
HIP 12113,Cet
HIP 12114,
HIP 12122,For
HIP 12153,Ari
HIP 12186,For
HIP 12189,Ari
HIP 12191,
HIP 12193,Tri
HIP 12225,Hor
HIP 12247,Cet
HIP 12288,For
HIP 12332,Ari
HIP 12387,Cet
HIP 12390,Cet
HIP 12394,Hyi
HIP 12413,Eri
HIP 12444,
HIP 12460,Cet
HIP 12484,Hor
HIP 12486,Eri
HIP 12489,Ari
HIP 12530,Cet
HIP 12600,Ari
HIP 12623,Per
HIP 12640,Ari
HIP 12647,Cet
HIP 12653,Hor
HIP 12692,Per
HIP 12706,Cet
HIP 12719,Ari
HIP 12768,Per
HIP 12770,Cet
HIP 12777,Per
HIP 12784,Ari
HIP 12803,Ari
HIP 12828,Cet
HIP 12832,Ari
HIP 12843,Eri
HIP 12871,Hor
HIP 12876,Hyi
HIP 12961,
HIP 13040,For
HIP 13061,Ari
HIP 13064,Eri
HIP 13108,Ari
HIP 13118,Ari
HIP 13121,Ari
HIP 13133,Cas
HIP 13141,Hor
HIP 13147,For
HIP 13165,Ari
HIP 13178,Per
HIP 13192,
HIP 13197,For
HIP 13202,For
HIP 13209,Ari
HIP 13225,For
HIP 13244,Hyi
HIP 13254,Per
HIP 13265,For
HIP 13268,Per
HIP 13288,Eri
HIP 13327,Ari
HIP 13328,Per
HIP 13367,Cas
HIP 13402,Eri
HIP 13473,For
HIP 13490,Per
HIP 13495,Cet
HIP 13531,Per
HIP 13645,Ari
HIP 13654,Ari
HIP 13665,
HIP 13701,Eri
HIP 13702,Ari
HIP 13756,Cet
HIP 13775,Per
HIP 13782,Eri
HIP 13834,Ari
HIP 13835,Eri
HIP 13847,Eri
HIP 13879,Per
HIP 13884,Hor
HIP 13905,Per
HIP 13914,Ari
HIP 13942,For
HIP 13951,Eri
HIP 13954,Cet
HIP 13993,
HIP 14040,Eri
HIP 14060,Eri
HIP 14086,For
HIP 14109,Ari
HIP 14131,Hyi
HIP 14135,Cet
HIP 14143,Cet
HIP 14146,Eri
HIP 14150,Ari
HIP 14168,Eri
HIP 14240,Hor
HIP 14264,Per
HIP 14286,
HIP 14293,Eri
HIP 14328,Per
HIP 14354,Per
HIP 14376,Ari
HIP 14382,Per
HIP 14501,
HIP 14514,Ari
HIP 14521,Hyi
HIP 14544,Per
HIP 14576,Per
HIP 14586,Ari
HIP 14590,
HIP 14626,Cas
HIP 14632,Per
HIP 14668,Per
HIP 14677,Ari
HIP 14817,Per
HIP 14838,Ari
HIP 14879,For
HIP 14893,Ari
HIP 14915,Cet
HIP 14930,Hor
HIP 14954,Cet
HIP 15092,For
HIP 15110,Ari
HIP 15131,
HIP 15193,Per
HIP 15197,Eri
HIP 15201,Hyi
HIP 15204,Per
HIP 15241,Per
HIP 15244,Eri
HIP 15330,Ret
HIP 15338,Per
HIP 15371,Ret
HIP 15382,Eri
HIP 15383,Cet
HIP 15404,Per
HIP 15444,Per
HIP 15457,Cet
HIP 15474,Eri
HIP 15510,Eri
HIP 15514,Ari
HIP 15520,Cam
HIP 15557,Ari
HIP 15578,
HIP 15619,Cet
HIP 15627,Ari
HIP 15648,Per
HIP 15696,Ari
HIP 15737,Ari
HIP 15770,Per
HIP 15776,
HIP 15799,
HIP 15861,Ari
HIP 15863,Per
HIP 15870,Ari
HIP 15890,Cam
HIP 15900,Tau
HIP 15987,For
HIP 15988,Per
HIP 16042,Ari
HIP 16083,Tau
HIP 16112,For
HIP 16156,For
HIP 16181,Ari
HIP 16228,Cam
HIP 16244,Per
HIP 16245,Ret
HIP 16281,Cam
HIP 16319,Cas
HIP 16322,Tau
HIP 16335,Per
HIP 16339,Hor
HIP 16341,Eri
HIP 16369,Tau
HIP 16470,Per
HIP 16499,Per
HIP 16511,Tau
HIP 16516,Per
HIP 16537,Eri
HIP 16591,Per
HIP 16611,Eri
HIP 16664,Tau
HIP 16713,Per
HIP 16803,Eri
HIP 16826,Per
HIP 16846,Tau
HIP 16852,Tau
HIP 16859,Tau
HIP 16870,Eri
HIP 16974,Cam
HIP 17007,For
HIP 17027,Eri
HIP 17096,
HIP 17103,Tau
HIP 17147,
HIP 17167,Eri
HIP 17181,Tau
HIP 17183,
HIP 17257,Cam
HIP 17296,Cam
HIP 17304,For
HIP 17309,Tau
HIP 17313,Per
HIP 17351,Eri
HIP 17358,Per
HIP 17378,Eri
HIP 17408,Tau
HIP 17439,
HIP 17440,Ret
HIP 17448,Per
HIP 17457,Eri
HIP 17489,Tau
HIP 17499,Tau
HIP 17506,Eri
HIP 17527,Tau
HIP 17529,Per
HIP 17531,Tau
HIP 17563,Tau
HIP 17573,Tau
HIP 17579,Tau
HIP 17588,Tau
HIP 17593,Eri
HIP 17608,Tau
HIP 17618,For
HIP 17651,Eri
HIP 17678,Hyi
HIP 17702,Tau
HIP 17704,Tau
HIP 17717,Eri
HIP 17738,For
HIP 17771,Tau
HIP 17797,Eri
HIP 17832,Tau
HIP 17846,Per
HIP 17847,Tau
HIP 17851,Tau
HIP 17874,Eri
HIP 17884,Cam
HIP 17886,Per
HIP 17959,Cam
HIP 17988,Tau
HIP 18033,Tau
HIP 18089,Tau
HIP 18141,Eri
HIP 18213,Eri
HIP 18216,Eri
HIP 18246,Per
HIP 18255,Eri
HIP 18267,
HIP 18339,Eri
HIP 18350,Per
HIP 18413,
HIP 18432,
HIP 18453,Per
HIP 18455,Eri
HIP 18471,Tau
HIP 18485,Tau
HIP 18532,Per
HIP 18543,Eri
HIP 18547,Per
HIP 18597,Ret
HIP 18614,Per
HIP 18673,Eri
HIP 18691,Dor
HIP 18724,Tau
HIP 18744,Ret
HIP 18772,Ret
HIP 18788,Eri
HIP 18859,
HIP 18907,Tau
HIP 18957,Tau
HIP 19009,Tau
HIP 19038,Tau
HIP 19076,Tau
HIP 19095,
HIP 19167,Per
HIP 19171,Tau
HIP 19201,Per
HIP 19205,Tau
HIP 19233,
HIP 19302,Per
HIP 19335,Per
HIP 19343,Per
HIP 19388,Tau
HIP 19483,Eri
HIP 19513,Tau
HIP 19515,Hor
HIP 19554,Tau
HIP 19587,Eri
HIP 19672,Tau
HIP 19719,Tau
HIP 19740,Tau
HIP 19747,Hor
HIP 19777,Eri
HIP 19780,Ret
HIP 19811,Per
HIP 19812,Per
HIP 19849,Eri
HIP 19855,Tau
HIP 19859,Tau
HIP 19860,Tau
HIP 19877,Tau
HIP 19893,Dor
HIP 19917,Ret
HIP 19921,Ret
HIP 19990,Tau
HIP 20004,Cam
HIP 20020,Ret
HIP 20042,Eri
HIP 20049,Men
HIP 20063,Per
HIP 20070,Per
HIP 20087,Tau
HIP 20171,Tau
HIP 20186,Tau
HIP 20205,Tau
HIP 20215,Tau
HIP 20219,Tau
HIP 20234,Per
HIP 20243,Eri
HIP 20250,Tau
HIP 20252,Per
HIP 20261,Tau
HIP 20263,Eri
HIP 20269,Eri
HIP 20271,Eri
HIP 20297,Men
